id,name,country,code,latitude,longitude,biome,established,area_acres,summary
1,"Yellowstone National Park","United States",yellowstone,44.4280,-110.5885,temperate_forest,1872,2219791,"World's first national park featuring geysers, hot springs, and diverse wildlife including grizzly bears, wolves, and bison."
2,"Serengeti National Park","Tanzania",serengeti,-2.3333,34.8333,savanna,1951,3648000,"Witness the great migration of over 1.5 million wildebeest and hundreds of thousands of zebras across endless African plains."
3,"Galápagos National Park","Ecuador",galapagos,-0.7500,-90.5000,tropical_dry_forest,1959,1949000,"Darwin's living laboratory with unique species found nowhere else on Earth, including giant tortoises and marine iguanas."
4,"Grand Canyon National Park","United States",grand-canyon,36.1069,-112.1129,desert,1919,1217262,"Marvel at one of the world's natural wonders, carved by the Colorado River over millions of years."
5,"Kruger National Park","South Africa",kruger,-24.0000,31.5000,savanna,1898,4837000,"One of Africa's largest game reserves, home to the Big Five and incredible biodiversity."
6,"Torres del Paine National Park","Chile",torres-del-paine,-51.0000,-73.0000,patagonian_steppe,1959,448280,"Patagonia's crown jewel featuring granite towers, glaciers, and pristine lakes amid dramatic mountain landscapes."
7,"Fiordland National Park","New Zealand",fiordland,-45.4167,167.7167,temperate_rainforest,1952,3051000,"Home to Milford Sound and Doubtful Sound, featuring dramatic fjords, waterfalls, and rainforests."
8,"Banff National Park","Canada",banff,51.4968,-115.9281,montane,1885,1641027,"Canada's first national park in the Rocky Mountains, featuring turquoise lakes and majestic peaks."
9,"Plitvice Lakes National Park","Croatia",plitvice,44.8654,15.5820,temperate_forest,1949,73350,"Cascading lakes and waterfalls create a natural wonderland of turquoise waters and lush forests."
10,"Iguazu National Park","Argentina/Brazil",iguazu,-25.6953,-54.4367,tropical_rainforest,1934,169695,"Home to the spectacular Iguazu Falls, one of the world's largest waterfall systems."
11,"Yosemite National Park","United States",yosemite,37.8651,-119.5383,temperate_forest,1890,759620,"Iconic granite cliffs, giant sequoias, and spectacular waterfalls in California's Sierra Nevada."
12,"Great Barrier Reef Marine Park","Australia",great-barrier-reef,-18.2871,147.6992,coral_reef,1975,86200000,"World's largest coral reef system, visible from space and home to incredible marine biodiversity."
13,"Komodo National Park","Indonesia",komodo,-8.5432,119.4890,tropical_dry_forest,1980,425000,"Home to the legendary Komodo dragon, the world's largest lizard, and pristine coral reefs."
14,"Kakadu National Park","Australia",kakadu,-12.8375,132.8999,tropical_savanna,1979,4894000,"Australia's largest national park with ancient rock art, wetlands, and diverse wildlife."
